date,invite_id,status,userId
2023-07-21 13:24:45,inv_00000,accepted,user_0131
2024-04-05 08:31:53,inv_00001,declined,user_0057
2024-01-10 09:01:43,inv_00002,pending,user_0080
2024-07-21 05:50:18,inv_00003,accepted,user_0016
2024-05-30 23:18:27,inv_00004,accepted,user_0168
2023-08-18 19:28:11,inv_00005,accepted,user_0181
2024-11-06 01:16:09,inv_00006,pending,user_0120
2023-11-13 08:46:33,inv_00007,accepted,user_0134
2024-11-11 15:05:14,inv_00008,accepted,user_0149
2024-08-02 18:20:18,inv_00009,declined,user_0009
2023-08-20 19:04:35,inv_00010,declined,user_0191
2024-09-06 05:52:18,inv_00011,accepted,user_0171
2024-04-27 15:00:18,inv_00012,pending,user_0200
2024-10-02 15:05:17,inv_00013,accepted,user_0028
2023-01-27 00:20:45,inv_00014,declined,user_0045
2024-04-08 04:23:24,inv_00015,accepted,user_0058
2023-01-06 19:38:40,inv_00016,accepted,user_0029
2023-04-10 22:02:39,inv_00017,pending,user_0095
2023-10-02 15:10:57,inv_00018,accepted,user_0121
2024-11-19 12:12:16,inv_00019,accepted,user_0182
2024-05-06 13:03:01,inv_00020,declined,user_0057
2023-07-13 15:48:41,inv_00021,accepted,user_0033
2023-04-21 13:06:28,inv_00022,accepted,user_0198
2024-08-17 02:58:56,inv_00023,declined,user_0192
2024-06-19 11:58:59,inv_00024,declined,user_0108
2023-07-26 07:08:46,inv_00025,pending,user_0132
2023-05-25 22:59:54,inv_00026,accepted,user_0016
2024-10-01 09:08:10,inv_00027,accepted,user_0131
2024-11-25 02:35:23,inv_00028,accepted,user_0089
2024-09-17 17:23:13,inv_00029,accepted,user_0191
2024-07-01 02:17:36,inv_00030,accepted,user_0081
2023-01-03 08:01:25,inv_00031,accepted,user_0150
2023-02-19 02:25:02,inv_00032,pending,user_0082
2024-02-12 03:33:18,inv_00033,pending,user_0096
2023-06-02 05:44:34,inv_00034,accepted,user_0146
2023-05-11 00:34:30,inv_00035,accepted,user_0057
2023-11-02 06:09:06,inv_00036,accepted,user_0153
2023-07-12 01:03:11,inv_00037,accepted,user_0028
2023-10-05 14:41:05,inv_00038,pending,user_0168
2024-03-02 05:54:34,inv_00039,accepted,user_0151
2024-04-10 12:45:36,inv_00040,declined,user_0136
2023-12-20 11:45:47,inv_00041,accepted,user_0141
2024-04-24 13:36:20,inv_00042,declined,user_0172
2023-05-12 10:43:37,inv_00043,declined,user_0121
2023-08-08 01:45:43,inv_00044,accepted,user_0047
2023-06-19 06:46:16,inv_00045,accepted,user_0010
2023-08-02 05:52:15,inv_00046,pending,user_0041
2023-12-21 02:15:01,inv_00047,accepted,user_0195
2024-08-04 14:59:34,inv_00048,accepted,user_0074
2023-10-14 07:31:12,inv_00049,accepted,user_0177
2023-09-18 16:52:49,inv_00050,accepted,user_0192
2023-12-18 02:24:09,inv_00051,accepted,user_0015
2023-03-12 11:15:44,inv_00052,accepted,user_0189
2023-03-24 00:40:37,inv_00053,pending,user_0074
2024-10-05 01:17:01,inv_00054,accepted,user_0052
