actionId,date,durationMinutes,encouragementMessage,id,recommendation,timestamp,title,userId
low_intensity,09-05-2026 17:30:50,2,Um ritmo mais leve será benéfico para o seu bem-estar.,161EhjSmHth9s4nEsNQs,True,,Ritmo Baixo,9d789fd91804129f
low_intensity,07-05-2026,2,Um ritmo mais leve será benéfico para o seu bem-estar.,1ldp8y0jjytpc8UIQn8U,True,,Ritmo Baixo,9d789fd91804129f
low_intensity,08-05-2026 22:05:28,2,Um ritmo mais leve será benéfico para o seu bem-estar.,1pzqk4nW2VCAbFN2yGpn,True,,Ritmo Baixo,72bd2672c948d2cb
medium_intensity,15-05-2026 00:09:06,5,Este nível de atividade é ideal para o seu bem-estar.,2S7atHcCiSbzKT9vD1nV,True,,Ritmo Saudável,72bd2672c948d2cb
medium_intensity,09-05-2026 16:53:05,5,Este nível de atividade é ideal para o seu bem-estar.,2oA6r8yfZgD2iQYQfaLp,True,,Ritmo Saudável,9d789fd91804129f
high_intensity,08-05-2026 22:19:25,2,Aumentar o nível de atividade será benéfico para o seu bem-estar.,46M3wn9p3134qjVEVSRp,True,,Ritmo Elevado,72bd2672c948d2cb
medium_intensity,09-05-2026 17:33:06,5,Este nível de atividade é ideal para o seu bem-estar.,54R2Iq229sKOuS7VzALh,True,,Ritmo Saudável,9d789fd91804129f
medium_intensity,09-05-2026 16:13:04,5,Este nível de atividade é ideal para o seu bem-estar.,59uRZI60wVSCtoeN0QWZ,True,,Ritmo Saudável,9d789fd91804129f
low_intensity,09-05-2026 16:11:09,2,Um ritmo mais leve será benéfico para o seu bem-estar.,5oZ6L4OAe9SBtCbVUcRz,True,,Ritmo Baixo,9d789fd91804129f
low_intensity,08-05-2026 21:55:28,2,Um ritmo mais leve será benéfico para o seu bem-estar.,74IaXXdXiL0dYyZ1R8fl,True,,Ritmo Baixo,72bd2672c948d2cb
low_intensity,09-05-2026 15:59:29,2,Um ritmo mais leve será benéfico para o seu bem-estar.,75E3FeXxjkhpC2Ww5uxI,True,,Ritmo Baixo,9d789fd91804129f
low_intensity,09-05-2026 16:40:49,2,Um ritmo mais leve será benéfico para o seu bem-estar.,8jUwAvim8lHiDSh9CUhf,True,,Ritmo Baixo,9d789fd91804129f
high_intensity,08-05-2026 22:31:53,2,Aumentar o nível de atividade será benéfico para o seu bem-estar.,9czysxUQg5pWtwMPqJ0g,True,,Ritmo Elevado,72bd2672c948d2cb
high_intensity,09-05-2026 18:47:50,2,Aumentar o nível de atividade será benéfico para o seu bem-estar.,Alb7nIoeFdiFKJq0zRpF,True,,Ritmo Elevado,9d789fd91804129f
high_intensity,2026-05-05 23:50:49.372209+00:00,2,Aumentar o nível de atividade será benéfico para o seu bem-estar.,BNRnCuZKPlRRblQtcPu9,True,1778021444167.0,Ritmo Elevado,9d789fd91804129f
