actionId,date,durationMinutes,encouragementMessage,id,recommendation,timestamp,title,userId
high_intensity,11-05-2026 13:13:35,10,Excelente intensidade! Continue assim.,yBY26thP7TUukQMTpeMj,True,1778505215000,Alta Intensidade,f7c6682ad24d37f8
medium_intensity,20-05-2026 00:54:11,5,Este nível de atividade é ideal para o seu bem-estar.,AcpfUwnHCZVA0CoYjbN0,True,1779238451000,Ritmo Saudável,57e7d972b508815d
low_intensity,23-05-2026 05:50:39,2,Um ritmo mais leve será benéfico para o seu bem-estar.,m89EGo9zMnvtgWOXsnf2,True,1779515439000,Ritmo Baixo,8e7f2987241c2818
low_intensity,11-05-2026 14:27:29,2,Um ritmo mais leve será benéfico para o seu bem-estar.,aCKBNtjBM47iSuli3Ri6,True,1778509649000,Ritmo Baixo,8f8c45c33ff51d0e
medium_intensity,29-05-2026 00:58:51,5,Este nível de atividade é ideal para o seu bem-estar.,78n1vm2bgZlE9ukwI6E0,True,1780016331000,Ritmo Saudável,574582321d04df00
high_intensity,11-05-2026 19:04:57,10,Excelente intensidade! Continue assim.,HkVR2Drq2OphPakEezLc,True,1778526297000,Alta Intensidade,1b38ab967d98cc4e
medium_intensity,03-05-2026 19:27:21,5,Este nível de atividade é ideal para o seu bem-estar.,ocr7qmqXttDk0Wt57nUW,True,1777836441000,Ritmo Saudável,53c682ded6545e06
medium_intensity,22-05-2026 22:23:43,5,Este nível de atividade é ideal para o seu bem-estar.,vYvl2Nk3W4uNrmTOWnQl,True,1779488623000,Ritmo Saudável,63d3511e9e857901
medium_intensity,05-05-2026 23:00:25,5,Este nível de atividade é ideal para o seu bem-estar.,9iY28HZMNQX2xpLUfDUD,True,1778022025000,Ritmo Saudável,b8e78b83a62a0cb7
high_intensity,19-05-2026 17:10:09,10,Excelente intensidade! Continue assim.,ITX0vy2MyvLGi4bPHB9n,True,1779210609000,Alta Intensidade,f879804e4456e5d4
low_intensity,14-05-2026 07:24:30,2,Um ritmo mais leve será benéfico para o seu bem-estar.,lKNElAC92reERGDHTYct,True,1778743470000,Ritmo Baixo,72ba4e2f87adceb5
high_intensity,02-05-2026 19:19:22,10,Excelente intensidade! Continue assim.,Iq72hG3qnGrmHUnKKwdH,True,1777749562000,Alta Intensidade,c9ab51cba10ae1e9
medium_intensity,15-05-2026 21:19:28,5,Este nível de atividade é ideal para o seu bem-estar.,TSnYCw5ZXC85oSrtrddz,True,1778879968000,Ritmo Saudável,9d16533a62ab9315
high_intensity,17-05-2026 11:27:28,10,Excelente intensidade! Continue assim.,qwv7lfu5dULS5G6xQQAs,True,1779017248000,Alta Intensidade,8e2e127651e9cbde
high_intensity,07-05-2026 21:05:36,10,Excelente intensidade! Continue assim.,eWZYBplZ8BH5G5WqwlQr,True,1778187936000,Alta Intensidade,39a54d73a921b9f6
low_intensity,14-05-2026 11:28:19,2,Um ritmo mais leve será benéfico para o seu bem-estar.,YE7KR1YKANvyCiUPkToO,True,1778758099000,Ritmo Baixo,ec75a53f04901eec
high_intensity,02-05-2026 13:02:18,10,Excelente intensidade! Continue assim.,N1az27kp7DmZH9Lb6ext,True,1777726938000,Alta Intensidade,d0825fdf3da3660c
medium_intensity,29-05-2026 08:16:26,5,Este nível de atividade é ideal para o seu bem-estar.,vxvM2kIvNJM6vulf35kF,True,1780042586000,Ritmo Saudável,517fc5ca69b652a5
medium_intensity,07-05-2026 09:40:30,5,Este nível de atividade é ideal para o seu bem-estar.,w77MHPVXWxgcIofxg0Sj,True,1778146830000,Ritmo Saudável,bb80f878cef35322
high_intensity,03-05-2026 02:29:25,10,Excelente intensidade! Continue assim.,VaH5Ac7eHMvonc0D0KmD,True,1777775365000,Alta Intensidade,5e1de20fecf98844
low_intensity,04-05-2026 13:16:44,2,Um ritmo mais leve será benéfico para o seu bem-estar.,oHEmbyQpdYXEfzLU0Ulg,True,1777900604000,Ritmo Baixo,d632e4ce536ec364
low_intensity,08-05-2026 19:52:27,2,Um ritmo mais leve será benéfico para o seu bem-estar.,BHIldfLdWQwoYCG8XOnn,True,1778269947000,Ritmo Baixo,daf96d2280390dec
high_intensity,13-05-2026 04:00:50,10,Excelente intensidade! Continue assim.,r0ipO410P4UIQIgGsA5p,True,1778644850000,Alta Intensidade,75778bdb64d1008e
low_intensity,22-05-2026 02:34:44,2,Um ritmo mais leve será benéfico para o seu bem-estar.,ijgM94P4pBAQXXdRJlRF,True,1779417284000,Ritmo Baixo,1bd749deaf799034
medium_intensity,02-05-2026 10:45:19,5,Este nível de atividade é ideal para o seu bem-estar.,3n0zSRlaJyzg2RQg2Ggd,True,1777718719000,Ritmo Saudável,55b620d8c0ab41e0
medium_intensity,08-05-2026 07:21:04,5,Este nível de atividade é ideal para o seu bem-estar.,wAYYB4MDlPr3fGzVwUcj,True,1778224864000,Ritmo Saudável,8dc02e5c153f83a3
medium_intensity,08-05-2026 07:13:44,5,Este nível de atividade é ideal para o seu bem-estar.,1McdpvsmkFjglL5uUlDP,True,1778224424000,Ritmo Saudável,7e8fb26408446272
low_intensity,19-05-2026 00:54:30,2,Um ritmo mais leve será benéfico para o seu bem-estar.,du4a6eNR9DJmDYEUUUje,True,1779152070000,Ritmo Baixo,75778bdb64d1008e
low_intensity,04-05-2026 17:26:56,2,Um ritmo mais leve será benéfico para o seu bem-estar.,iguMGAnsgJ5WeivrBIiF,True,1777915616000,Ritmo Baixo,f7c6682ad24d37f8
high_intensity,17-05-2026 21:41:41,10,Excelente intensidade! Continue assim.,8ZsGMBMVmJ3R94R34zCn,True,1779054101000,Alta Intensidade,2a339e8954684016
medium_intensity,25-05-2026 22:40:51,5,Este nível de atividade é ideal para o seu bem-estar.,tcRDWQcd6ESC3Ab4k97T,True,1779748851000,Ritmo Saudável,a8c47673d6a4f85c
medium_intensity,19-05-2026 14:36:01,5,Este nível de atividade é ideal para o seu bem-estar.,OAj4ulCcCNIa1LQvsCTK,True,1779201361000,Ritmo Saudável,13db178cd9a1e37a
high_intensity,02-05-2026 17:54:19,10,Excelente intensidade! Continue assim.,DIyB65oNnSSbQ06QtmCd,True,1777744459000,Alta Intensidade,18d281edb3671f44
low_intensity,29-05-2026 21:33:21,2,Um ritmo mais leve será benéfico para o seu bem-estar.,2Gujtdrh9OAcW10KCoBO,True,1780090401000,Ritmo Baixo,06bf6a628379e030
